,taxpayer_number,taxpayer_name,taxpayer_address,taxpayer_city,taxpayer_state,taxpayer_zip,taxpayer_county,location_number,location_name,location_address,location_city,location_state,location_zip,location_county,inside_outside_city_limits_code_y_n,tabc_permit_number,responsibility_begin_date_yyyymmdd,obligation_end_date_yyyymmdd,liquor_receipts,wine_receipts,beer_receipts,cover_charge_receipts,total_receipts
40,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2019-05-31T00:00:00.000,54,0,135,0,189
41,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2013-03-31T00:00:00.000,234,0,527,0,761
42,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2015-03-31T00:00:00.000,334,0,297,0,631
43,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2018-08-31T00:00:00.000,78,0,211,0,289
44,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2018-09-30T00:00:00.000,161,0,187,0,348
45,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2012-06-30T00:00:00.000,149,0,387,0,536
46,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2016-01-31T00:00:00.000,76,0,194,0,270
47,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2013-09-30T00:00:00.000,815,0,590,0,1405
48,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2011-07-31T00:00:00.000,302,0,535,0,837
49,17429444858,"CHIPOTLE TEXAS, L.L.C.",445 N HIGH ST FL 3,COLUMBUS,OH,43215,0,104,CHIPOTLE MEXICAN GRILL,2411 GLENNA GOODACRE BLVD,LUBBOCK,TX,79401,152,Y,MB762148,2010-11-19T00:00:00.000,2018-06-30T00:00:00.000,76,0,115,0,191
